"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Dylan Moore","Mariners","88","345","5",".282",".364",".538",".902","6",".383","148",".256","28.4%","32.7%","26.9%","40.4%","23.8%","15.1%","90.7","33.6%","5.48","","","1.5%","3.23","0.9%","16.63","","","16.8%","-2.83","29.3%","-5.24","6.4%","-3.41","2.6%","2.44","","","9.0%","-1.58","","","","","18042"
"Mike Trout","Angels","130","569","11",".265",".346",".593",".939","1",".383","146",".327","26.9%","27.5%","23.8%","48.8%","28.2%","16.3%","93.2","42.0%","0.74","","","9.1%","1.53","2.3%","1.48","","","16.7%","1.05","15.1%","1.28","9.1%","-1.61","1.2%","23.26","","","4.4%","-7.11","","","","","10155"
"J.T. Realmuto","Phillies","107","410","9",".280",".327",".590",".917","1",".382","140",".310","30.8%","49.3%","13.4%","37.3%","36.0%","16.4%","91.5","31.0%","-0.55","","","7.3%","-3.78","2.7%","6.93","","","11.7%","2.07","22.7%","-1.42","11.2%","7.26","4.4%","-5.12","","","9.0%","5.04","","","","","11739"
"Jason Kipnis","Cubs","65","296","2",".255",".400",".490",".890","0",".382","141",".235","30.8%","41.9%","19.4%","38.7%","16.7%","9.4%","88.6","41.2%","1.59","","","3.4%","-2.74","2.0%","2.08","","","12.2%","-0.16","16.6%","-1.23","10.5%","-0.93","1.7%","-4.69","","","12.2%","-4.67","","","","","9776"
"Jason Heyward","Cubs","90","404","3",".270",".389",".500",".889","1",".380","140",".230","15.6%","44.3%","27.9%","27.9%","17.6%","3.3%","86.8","41.3%","-1.18","","","2.7%","-5.27","2.5%","-2.10","","","12.4%","-2.14","15.8%","1.07","12.4%","2.82","1.2%","-6.54","","","10.9%","0.43","","","","","4940"
"Travis d'Arnaud","Braves","77","275","4",".319",".351",".556",".906","1",".380","138",".236","27.3%","38.5%","30.8%","30.8%","25.0%","11.5%","90.6","31.0%","-1.41","","","6.2%","-5.28","2.9%","-0.07","","","27.0%","1.32","19.0%","4.21","5.5%","-2.74","1.8%","18.43","","","6.6%","-4.53","","","","","7739"
"Cavan Biggio","Blue Jays","137","557","6",".265",".390",".487",".876","4",".380","142",".221","20.4%","34.5%","20.2%","45.2%","15.8%","5.8%","88.7","39.5%","-4.17","","","7.9%","-1.55","4.0%","2.04","","","17.2%","4.77","10.4%","-1.02","11.3%","-3.80","1.6%","0.26","","","8.1%","1.94","","","","","19252"
"Harrison Bader","Cardinals","49","213","2",".225",".367",".525",".892","2",".380","142",".300","28.6%","46.2%","7.7%","46.2%","16.7%","11.5%","82.7","33.3%","0.66","","","8.5%","-2.05","","","","","9.9%","2.97","31.0%","2.29","12.7%","-3.70","0.5%","6.50","","","4.2%","2.07","","","","","18030"
"Eric Hosmer","Padres","91","338","6",".286",".341",".560",".900","2",".379","141",".274","13.2%","44.4%","18.1%","37.5%","22.2%","12.5%","90.6","32.0%","0.42","","","10.7%","4.73","0.3%","-22.98","","","15.4%","-0.72","13.6%","0.36","8.0%","-7.15","4.4%","-2.01","","","15.1%","3.67","","","","","3516"
"Anthony Santander","Orioles","136","497","10",".268",".316",".606",".922","0",".377","138",".339","15.4%","25.7%","25.7%","48.6%","19.6%","10.4%","89.1","29.2%","3.37","","","11.1%","-2.00","3.0%","-2.49","","","17.5%","0.49","10.1%","7.88","9.7%","-4.92","1.8%","-10.41","","","17.7%","-4.04","","","","","14551"
"Miguel Sano","Twins","107","464","6",".247",".346",".559",".905","0",".376","138",".312","42.1%","33.3%","27.1%","39.6%","31.6%","25.0%","96.3","39.2%","0.11","","","6.3%","2.21","0.2%","-30.85","","","9.9%","6.53","26.7%","-1.36","7.5%","-3.26","3.7%","-2.58","","","6.3%","2.83","","","","","12164"
"Franmil Reyes","Indians","125","483","7",".307",".360",".526",".886","0",".376","135",".219","28.0%","56.3%","13.8%","30.0%","29.2%","15.0%","93.3","30.9%","5.39","","","3.5%","-0.01","0.4%","59.62","","","17.0%","1.60","27.5%","-5.55","8.9%","-1.39","0.6%","-13.60","","","11.2%","0.43","","","","","14566"
"C.J. Cron","Tigers","52","215","4",".190",".346",".548",".894","0",".375","137",".357","30.8%","38.5%","15.4%","46.2%","33.3%","19.2%","85.5","38.1%","-2.06","","","5.1%","6.28","1.9%","-6.05","","","14.9%","4.37","20.0%","-4.80","7.0%","-6.40","4.7%","0.40","","","8.4%","0.55","","","","","12546"
"Willy Adames","Rays","111","453","3",".286",".369",".510",".880","1",".375","142",".224","31.5%","44.4%","27.0%","28.6%","16.7%","6.4%","90.0","30.3%","-0.48","","","6.8%","2.05","3.3%","5.83","","","14.7%","-2.08","23.5%","-2.90","6.8%","-1.88","2.0%","-8.67","","","12.5%","-0.35","","","","","15986"
"Luis Robert","White Sox","119","436","8",".284",".331",".569",".899","4",".375","140",".284","33.6%","38.6%","22.9%","38.6%","29.6%","18.3%","91.5","33.3%","-1.84","","","6.7%","-0.83","0.7%","-2.63","","","14.3%","1.88","30.3%","0.34","7.1%","2.41","1.2%","-14.57","","","6.4%","6.75","","","","","20043"
"Starling Marte","Diamondbacks","130","486","2",".325",".400",".465",".865","5",".374","135",".140","13.1%","50.0%","20.8%","29.2%","7.1%","6.1%","86.7","31.3%","1.57","","","4.7%","8.40","1.0%","-6.47","","","18.4%","-1.10","25.0%","-0.72","5.4%","-2.59","3.1%","-4.81","","","11.1%","-3.72","","","","","9241"
"Alex Bregman","Astros","107","448","4",".272",".374",".500",".874","0",".372","140",".228","14.0%","33.8%","23.4%","42.9%","12.1%","5.2%","88.9","31.5%","0.30","","","10.0%","-1.19","1.6%","1.44","","","16.7%","-0.28","17.9%","-3.27","9.2%","2.53","1.1%","-1.26","","","12.1%","-0.51","","","","","17678"
"Mark Canha","Athletics","136","627","3",".278",".404",".444",".849","3",".372","139",".167","26.5%","34.7%","18.7%","46.7%","8.6%","12.0%","90.7","31.6%","0.69","","","6.2%","-0.27","1.3%","-5.55","","","14.8%","1.64","18.8%","-2.64","11.2%","-2.93","2.4%","-3.15","","","13.2%","-1.08","","","","","11445"
"Cam Gallagher","Royals","29","115","1",".280",".379",".480",".859","0",".372","134",".200","17.2%","25.0%","30.0%","45.0%","11.1%","0.0%","80.9","35.7%","-5.56","","","1.7%","2.49","1.7%","22.92","","","16.5%","9.30","23.5%","3.38","11.3%","-5.21","3.5%","-3.47","","","6.1%","1.24","","","","","12981"
"Donovan Solano","Giants","115","415","2",".336",".374",".486",".860","0",".369","136",".150","16.5%","37.1%","28.1%","34.8%","6.5%","4.5%","88.0","33.5%","0.23","","","8.2%","-1.56","1.0%","-3.64","","","14.7%","3.79","21.5%","-1.28","8.0%","-2.48","3.9%","-4.21","","","9.4%","7.03","","","","","8623"
"Yuli Gurriel","Astros","128","457","5",".296",".352",".522",".873","0",".368","137",".226","13.3%","36.0%","24.0%","40.0%","12.5%","5.0%","89.9","36.8%","2.06","","","9.2%","0.07","2.4%","-6.92","","","11.6%","-0.40","18.8%","0.13","8.5%","-1.04","1.3%","-5.70","","","11.4%","0.81","","","","","19198"
"Hunter Dozier","Royals","67","252","3",".241",".388",".444",".833","1",".366","130",".204","20.9%","35.0%","25.0%","40.0%","18.8%","7.5%","89.0","23.0%","2.22","","","2.4%","-9.14","4.4%","-3.90","","","17.9%","0.22","31.4%","-1.45","11.9%","-1.03","","","","","9.1%","-3.14","","","","","15117"
"Christian Walker","Diamondbacks","132","497","3",".311",".364",".496",".859","0",".366","129",".185","19.7%","40.0%","29.5%","30.5%","10.3%","8.4%","91.9","37.0%","-2.01","","","4.6%","-0.02","0.4%","-0.61","","","16.1%","2.91","24.3%","1.22","6.2%","3.86","1.2%","-2.41","","","10.2%","2.06","","","","","13419"
"Jorge Soler","Royals","134","570","8",".254",".348",".509",".857","0",".364","129",".254","32.8%","36.6%","22.5%","40.8%","27.6%","19.2%","92.3","26.3%","0.33","","","3.9%","-1.86","2.1%","11.82","","","19.5%","0.97","26.8%","-0.66","9.7%","-0.92","0.7%","-6.85","","","11.1%","-1.35","","","","","14221"
"Tommy La Stella","Angels","117","468","4",".273",".371",".475",".845","1",".364","133",".202","6.0%","37.6%","19.4%","43.0%","10.0%","7.5%","87.5","32.1%","-0.74","","","8.3%","1.76","2.6%","5.69","","","21.2%","-4.73","13.9%","-2.14","6.2%","4.65","2.1%","-5.23","","","13.7%","-0.56","","","","","12371"
"Renato Nunez","Orioles","129","532","7",".282",".341",".521",".862","0",".364","129",".239","30.2%","32.9%","26.6%","40.5%","21.9%","11.4%","87.3","27.6%","1.69","","","8.7%","2.57","3.6%","0.60","","","16.0%","1.62","22.2%","-2.97","12.6%","-3.99","1.1%","-6.82","","","8.3%","0.19","","","","","14503"
"Kyle Seager","Mariners","139","504","5",".291",".367",".504",".871","4",".364","135",".214","12.2%","41.9%","20.0%","38.1%","12.5%","9.5%","89.4","36.3%","1.01","","","2.4%","4.50","0.6%","-2.96","","","12.3%","7.47","15.7%","-3.57","11.9%","-2.95","3.8%","-4.49","","","17.1%","-2.66","","","","","9785"
"Luis Gonzalez","White Sox","2","5","0",".000",".500",".000",".500","0",".364","133",".000","50.0%","0.0%","0.0%","0.0%","0.0%","","","60.0%","1.76","","","","","","","","","20.0%","-4.12","","","20.0%","6.50","","","","","","","","","","","20332"
"J.D. Davis","Mets","119","497","4",".283",".395",".434",".829","0",".363","134",".152","22.7%","52.1%","24.7%","23.3%","23.5%","6.9%","91.2","33.4%","0.69","","","5.6%","5.03","1.0%","-0.25","","","20.7%","-1.87","17.9%","-2.46","9.9%","-3.04","1.8%","1.19","","","9.7%","-0.83","","","","","16219"
"JaCoby Jones","Tigers","97","416","5",".273",".330",".534",".864","0",".362","128",".261","32.0%","46.6%","22.4%","31.0%","27.8%","10.3%","89.6","35.1%","1.80","","","8.4%","-3.96","","","","","12.5%","3.03","23.3%","-2.53","8.9%","-3.83","2.9%","-1.88","","","8.9%","-0.01","","","","","14818"
"Yandy Diaz","Rays","128","538","2",".295",".422",".381",".803","0",".362","133",".086","12.5%","65.2%","22.5%","12.4%","18.2%","2.3%","88.3","31.2%","-1.89","","","9.1%","-6.58","0.7%","26.82","","","17.1%","1.37","21.2%","-1.60","5.4%","-6.92","1.3%","-8.09","","","13.9%","0.45","","","","","16578"
"Alex Verdugo","Red Sox","119","502","5",".287",".353",".500",".853","2",".362","125",".213","21.0%","56.6%","19.3%","24.1%","25.0%","9.6%","85.9","36.1%","0.76","","","3.8%","-5.22","5.2%","-2.46","","","20.3%","1.70","10.8%","-6.23","9.0%","3.67","2.2%","22.52","","","12.8%","-2.24","","","","","17027"
"Colin Moran","Pirates","89","342","6",".259",".326",".531",".857","0",".361","128",".272","25.8%","49.1%","19.3%","31.6%","33.3%","17.2%","93.4","34.5%","-1.33","","","11.1%","0.04","1.5%","-1.78","","","19.3%","-0.02","11.4%","7.41","8.5%","2.63","1.5%","-15.27","","","12.3%","-3.63","","","","","16909"
"Kole Calhoun","Diamondbacks","126","513","8",".224",".341",".505",".846","0",".361","126",".280","23.8%","36.4%","27.3%","36.4%","28.6%","13.0%","88.9","33.7%","-2.92","","","5.7%","-1.69","1.8%","-3.93","","","19.3%","0.77","14.8%","6.24","6.6%","-4.63","3.7%","-2.72","","","14.4%","-3.09","","","","","11200"
"Whit Merrifield","Royals","139","495","6",".297",".345",".500",".845","6",".360","126",".203","12.2%","36.0%","25.2%","38.7%","14.0%","5.4%","86.5","32.7%","2.84","","","7.9%","-1.11","2.0%","-0.12","","","11.5%","-0.64","25.1%","-1.13","9.1%","3.91","1.6%","-6.86","","","10.1%","-0.97","","","","","11281"
"Kyle Tucker","Astros","119","453","5",".262",".328",".551",".879","4",".359","131",".290","22.7%","43.8%","20.0%","36.3%","17.2%","12.4%","90.6","28.0%","6.24","","","9.1%","-2.88","0.7%","-12.02","","","17.0%","0.14","21.0%","-4.00","9.3%","-2.52","0.7%","12.29","","","14.4%","-2.35","","","","","18345"
"Max Kepler","Twins","125","508","7",".238",".352",".486",".838","3",".359","126",".248","17.6%","28.6%","21.4%","50.0%","16.7%","7.1%","87.7","37.6%","0.69","","","5.9%","2.56","","","","","14.4%","-1.44","13.2%","-1.56","10.0%","-3.58","3.2%","4.03","","","15.4%","-1.54","","","","","12144"
"Rhys Hoskins","Phillies","116","491","3",".216",".405",".375",".780","1",".358","124",".159","21.6%","28.6%","22.2%","49.2%","9.7%","11.1%","87.8","33.2%","-2.78","","","9.0%","2.91","1.8%","-3.32","","","14.1%","2.78","19.1%","-1.34","15.3%","0.11","2.2%","-6.22","","","5.3%","-2.85","","","","","16472"
"Jacob Stallings","Pirates","70","284","1",".328",".397",".410",".807","0",".358","126",".082","24.3%","45.5%","22.7%","31.8%","7.1%","2.2%","90.3","27.5%","-1.04","","","12.0%","1.57","","","","","16.9%","5.59","26.4%","-0.29","7.4%","-3.36","2.1%","-7.44","","","7.8%","-3.03","","","","","13723"
"Keibert Ruiz","Dodgers","8","30","1",".250",".250",".625",".875","0",".358","129",".375","37.5%","20.0%","20.0%","60.0%","33.3%","20.0%","87.5","43.3%","8.82","","","6.7%","-13.70","10.0%","0.72","","","3.3%","48.02","6.7%","-17.49","16.7%","-1.71","","","","","13.3%","-12.03","","","","","19610"
"Carlos Santana","Indians","140","624","4",".229",".414",".362",".776","0",".357","122",".133","16.4%","43.4%","19.3%","37.3%","12.9%","6.0%","88.8","30.6%","-1.01","","","2.9%","-7.83","1.1%","-13.55","","","17.5%","-1.25","15.2%","0.27","9.5%","-3.94","2.2%","-5.54","","","20.7%","-1.58","","","","","2396"
"Xander Bogaerts","Red Sox","120","518","6",".278",".342",".500",".842","2",".357","122",".222","20.8%","41.7%","19.0%","39.3%","18.2%","8.3%","92.5","28.2%","1.52","","","7.3%","4.02","2.1%","-8.00","","","18.0%","-0.37","17.4%","-2.65","10.0%","-4.76","3.3%","-3.24","","","13.7%","1.93","","","","","12161"
"Manuel Margot","Rays","84","321","1",".316",".381",".434",".815","4",".357","130",".118","16.7%","40.0%","26.7%","33.3%","5.0%","4.8%","90.1","34.9%","-0.80","","","3.7%","1.87","2.2%","6.08","","","19.6%","2.05","20.9%","-0.47","3.1%","0.14","2.8%","-3.40","","","12.8%","-0.99","","","","","14712"
"Jonathan Schoop","Tigers","119","416","7",".300",".331",".518",".849","0",".357","125",".218","22.7%","49.4%","18.8%","31.8%","25.9%","7.0%","89.1","34.6%","1.56","","","11.1%","-6.22","","","","","14.4%","5.22","21.4%","-1.92","7.5%","3.82","2.6%","1.88","","","8.4%","5.82","","","","","11265"
"David Fletcher","Angels","154","607","3",".314",".377",".445",".822","2",".356","128",".131","10.4%","53.7%","23.6%","22.8%","10.7%","0.8%","85.7","36.7%","1.28","","","8.2%","-2.59","1.0%","-15.03","","","23.9%","2.30","15.0%","-1.78","8.6%","-3.31","0.5%","11.62","","","6.1%","-3.56","","","","","17992"
"Curt Casali","Reds","51","215","4",".190",".333",".500",".833","0",".356","121",".310","25.5%","27.6%","20.7%","51.7%","26.7%","10.3%","90.8","35.8%","-0.15","","","4.2%","-9.41","","","","","17.7%","0.41","20.5%","-2.12","10.7%","-2.57","1.9%","3.50","","","9.3%","-8.62","","","","","12510"
"Alec Bohm","Phillies","52","192","1",".289",".385",".422",".807","0",".356","123",".133","13.5%","52.6%","13.2%","34.2%","7.7%","13.2%","91.3","37.0%","1.01","","","9.4%","3.66","1.6%","-2.96","","","14.6%","-0.90","15.6%","-4.67","9.9%","4.07","4.2%","5.27","","","7.8%","-12.69","","","","","21618"
"Didi Gregorius","Phillies","107","401","4",".290",".364",".484",".848","2",".356","123",".194","9.3%","33.3%","22.6%","44.0%","10.8%","4.7%","83.9","37.4%","-2.59","","","6.0%","-2.95","4.5%","-6.43","","","12.7%","1.52","9.7%","7.72","9.0%","4.69","3.5%","-3.23","","","17.2%","0.90","","","","","6012"
"Jay Bruce","Phillies","55","218","4",".231",".273",".596",".869","0",".354","122",".365","23.6%","35.9%","12.8%","51.3%","20.0%","12.8%","90.4","33.9%","-1.27","","","12.4%","3.28","1.4%","3.28","","","11.5%","4.45","11.9%","1.72","6.9%","-1.56","4.6%","13.11","","","17.4%","-4.67","","","","","9892"
"Hanser Alberto","Orioles","134","443","2",".331",".353",".472",".826","1",".354","122",".142","12.7%","43.9%","28.0%","28.0%","6.7%","0.9%","83.2","30.9%","1.42","","","9.9%","3.80","1.1%","8.21","","","16.7%","-0.01","19.9%","-1.01","10.8%","-1.77","2.0%","-0.40","","","8.6%","-0.87","","","","","11902"
"Tyler Naquin","Indians","49","183","1",".298",".327",".511",".837","0",".354","119",".213","24.5%","42.9%","28.6%","28.6%","10.0%","8.6%","89.6","35.5%","0.66","","","1.6%","-10.31","","","","","14.8%","2.33","16.4%","-1.43","12.0%","0.66","1.1%","-8.91","","","18.6%","2.83","","","","","13359"
"Brian Navarreto","Marlins","5","15","0",".400",".400",".400",".800","0",".353","126",".000","20.0%","0.0%","50.0%","50.0%","0.0%","0.0%","92.8","33.3%","-6.66","","","13.3%","26.17","6.7%","-29.95","","","6.7%","-28.90","26.7%","14.49","13.3%","-2.16","","","","","","","","","","","16398"
"Salvador Perez","Royals","92","308","4",".307",".326",".511",".837","0",".353","121",".205","16.3%","36.5%","29.7%","33.8%","16.0%","8.1%","90.7","25.0%","6.30","","","7.5%","0.67","1.3%","27.19","","","16.2%","-1.45","27.6%","-2.37","9.7%","-1.43","2.6%","-10.25","","","10.1%","-0.26","","","","","7304"
"Justin Turner","Dodgers","138","516","2",".282",".384",".410",".794","1",".352","125",".128","15.9%","33.3%","24.0%","42.7%","4.9%","11.5%","89.8","34.1%","-1.43","","","8.3%","2.92","2.5%","-8.67","","","13.0%","6.45","15.9%","-2.06","13.2%","1.06","1.7%","-3.54","","","11.2%","-0.52","","","","","5235"
"Lorenzo Cain","Brewers","21","73","0",".333",".429",".389",".817","0",".352","120",".056","9.5%","50.0%","37.5%","12.5%","0.0%","0.0%","89.0","20.6%","1.67","","","6.9%","-1.06","1.4%","38.10","","","38.4%","0.29","9.6%","-1.22","5.5%","-4.37","8.2%","-1.33","","","9.6%","-11.42","","","","","9077"
"Derek Dietrich","Rangers","37","142","2",".226",".351",".452",".803","1",".352","114",".226","24.3%","40.9%","22.7%","36.4%","25.0%","9.1%","85.7","40.9%","3.36","","","4.2%","-6.55","1.4%","42.28","","","9.9%","0.60","19.7%","-2.81","9.9%","-2.42","4.2%","-2.91","","","9.9%","-11.49","","","","","10542"
"Max Stassi","Angels","52","190","4",".244",".327",".511",".838","0",".352","125",".267","15.4%","42.1%","10.5%","47.4%","22.2%","10.5%","91.1","31.6%","3.88","","","7.9%","9.21","0.5%","-4.12","","","21.1%","-4.21","15.3%","-4.23","9.0%","1.27","1.1%","-5.97","","","13.7%","-1.01","","","","","10059"
"Jose  Garcia","Reds","7","35","0",".333",".429",".333",".762","1",".352","118",".000","28.6%","100.0%","0.0%","0.0%","0.0%","0.0%","87.1","14.3%","2.67","2.9%","","5.7%","-9.33","","","","","45.7%","-0.93","11.4%","-1.12","5.7%","-23.16","","","","","14.3%","0.68","","","","","23378"
"Dansby Swanson","Braves","130","490","4",".306",".338",".484",".822","4",".352","119",".177","28.5%","41.9%","27.9%","30.2%","15.4%","9.2%","88.0","26.3%","4.31","","","7.4%","-1.39","2.9%","-4.05","","","20.6%","1.74","20.2%","-0.35","9.8%","-6.06","3.3%","0.52","","","9.6%","-1.78","","","","","18314"
"Francisco Cervelli","Marlins","62","220","3",".245",".355",".453",".808","1",".351","125",".208","22.6%","43.6%","20.5%","35.9%","21.4%","7.7%","89.0","30.9%","-1.92","","","4.1%","7.85","5.9%","-9.71","","","18.6%","-0.29","24.1%","-0.37","6.8%","0.84","4.1%","-3.65","","","5.5%","-8.06","","","","","5275"
"Vladimir Guerrero Jr.","Blue Jays","127","468","5",".263",".339",".482",".821","0",".351","122",".219","14.2%","58.3%","17.7%","24.0%","21.7%","9.4%","92.0","31.0%","-2.14","","","13.7%","0.59","2.4%","-6.34","","","15.8%","0.60","13.7%","6.01","8.6%","-2.76","2.1%","-8.97","","","12.8%","-4.11","","","","","19611"
"Will Smith","Dodgers","57","246","3",".200",".351",".467",".818","0",".351","124",".267","15.8%","18.9%","21.6%","59.5%","13.6%","13.5%","93.7","37.4%","-0.27","","","4.5%","4.04","4.9%","-9.58","","","17.1%","-1.63","14.6%","1.84","12.2%","-4.02","2.4%","-6.06","","","6.9%","-3.09","","","","","19197"
"Jose Ramirez","Indians","146","651","6",".248",".349",".464",".813","8",".350","117",".216","20.5%","29.2%","24.0%","46.9%","13.3%","5.2%","87.5","32.7%","-1.31","","","3.4%","0.55","1.4%","-4.67","","","13.5%","3.54","18.7%","-0.09","9.5%","-0.94","1.1%","-3.37","","","19.7%","-0.35","","","","","13510"
"Matt Chapman","Athletics","135","576","9",".240",".289",".560",".849","0",".350","124",".320","31.9%","24.1%","22.9%","53.0%","20.5%","18.1%","93.3","35.4%","2.30","","","4.9%","-2.75","1.6%","-9.29","","","17.4%","-4.07","18.2%","-0.40","10.9%","2.92","0.9%","-0.45","","","10.4%","-1.57","","","","","16505"
"Brian Goodwin","Angels","105","425","4",".253",".343",".484",".826","1",".349","123",".231","31.4%","28.8%","28.8%","42.4%","16.0%","13.6%","88.9","35.8%","-1.49","","","5.7%","2.72","2.4%","-4.99","","","16.7%","4.89","11.3%","-0.29","9.9%","-5.34","3.5%","-3.54","","","14.6%","-2.27","","","","","12858"
"A.J. Pollock","Dodgers","112","383","6",".272",".321",".515",".836","2",".348","122",".243","19.6%","42.7%","17.1%","40.2%","18.2%","8.5%","88.3","31.6%","0.04","","","7.6%","-2.99","1.0%","-0.95","","","11.8%","3.49","18.0%","-2.33","14.9%","-0.61","0.8%","-5.83","","","14.4%","-5.25","","","","","9256"
"Isaac Paredes","Tigers","30","135","1",".269",".367",".423",".790","0",".347","118",".154","30.0%","52.9%","17.6%","29.4%","20.0%","0.0%","86.1","35.6%","3.84","","","11.1%","-4.94","","","","","17.0%","-2.16","21.5%","-5.77","8.9%","-2.59","2.2%","-2.73","","","3.7%","0.44","","","","","20036"
"Matt Joyce","Marlins","65","268","1",".286",".385",".393",".777","0",".347","122",".107","29.2%","35.1%","35.1%","29.7%","9.1%","2.7%","83.0","29.9%","2.18","","","1.9%","-7.43","6.3%","-8.05","","","13.1%","3.58","15.3%","-0.41","9.3%","-1.77","2.2%","-7.81","","","22.0%","-3.45","","","","","3353"
