PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Eric Sogard,2B,MIL,DET,8,2200,7.9,3.6,6.3,2.9,5.4,2.5,In Dome
Austin Romine,C1,DET,@MIL,8,2300,7.9,3.4,7.0,3.0,8.1,3.5,In Dome
Corey Dickerson,OF,MIA,TOR,2,2700,7.8,2.9,8.2,3.0,7.8,2.9,In Dome
Andrelton Simmons,SS,LAA,SD,9,2300,7.8,3.4,9.3,4.0,8.0,3.5,W 7 Out
Tim Locastro,OF,ARI,@LAD,1,2200,7.8,3.5,4.9,2.2,4.3,2.0,W 6 Out
Anthony Bemboom,C1,LAA,SD,8,2400,7.8,3.2,8.0,3.3,9.3,3.9,W 7 Out
Jean Segura,2B,PHI,WAS,7,2800,7.8,2.8,13.3,4.8,9.3,3.3,W 8 Out
Orlando Arcia,SS,MIL,DET,9,2300,7.7,3.4,6.9,3.0,6.1,2.7,In Dome
Adam Haseley,OF,PHI,WAS,9,2100,7.7,3.7,0.0,0.0,2.9,1.4,W 8 Out
Eugenio Suarez,3B,CIN,STL,4,3500,7.7,2.2,8.8,2.5,9.9,2.8,W 7 Out
